ID,pipeline_label,pipeline_score,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,overall_roberta_score,roberta_label,productAsin,country,date,isVerified,ratingScore,reviewTitle,reviewDescription,reviewUrl,reviewedIn,variant,variantAsin
12,POSITIVE,0.9998552799224854,0.0,0.0,1.0,0.4215,0.066038184,0.35445273,0.5795091,0.5795091,Positive,B09G9BL5CP,India,06-07-2024,True,5,I love it,Nice,https://www.amazon.in/gp/customer-reviews/R66RSI0SENEH2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 6 July 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ
13,POSITIVE,0.99982088804245,0.0,0.471,0.529,0.9259,0.0014689579,0.008635324,0.9898957,0.9898957,Positive,B09G9BL5CP,India,18-05-2024,True,5,It’s a legit iPhone,It’s a perfect iPhone I highly recommend this seller . Great price on their sale. The phone is good,https://www.amazon.in/gp/customer-reviews/R2S11RNO5ELEDP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 18 May 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ
14,POSITIVE,0.9997901320457458,0.0,0.685,0.315,0.8297,0.0015458404,0.009574075,0.98888004,0.98888004,Positive,B09G9BL5CP,India,11-03-2024,True,5,Worth every penny,What I like about this phone is that it is quite reasonable comparing other iphones and Is very good and nice to use.,https://www.amazon.in/gp/customer-reviews/R2B0L31IXBMHLA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ
15,NEGATIVE,0.9984902143478394,0.0,1.0,0.0,0.0,0.07752569,0.5487367,0.3737376,0.5487367,Neutral,B09G9BL5CP,India,12-10-2023,True,4,Nice.,I bought the product little expensive. Within a month price dropped by Rs.17000.,https://www.amazon.in/gp/customer-reviews/R1BZJOMYXF9K7M/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 12 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ
16,POSITIVE,0.9983861446380615,0.04,0.748,0.212,0.9865,0.0040063215,0.02734869,0.968645,0.968645,Positive,B09G9BL5CP,India,11-03-2022,True,5,Worth the product,"Though we talk a lot about high price for iPhones, this is worth the amount. Smooth touch, perfect to hold in hand. For the screen size of 6.1"", it looks small overall. I could have gone for pro max but more than 1.5L budget is way too much for me :-)* Good battery back-up (With low battery mode always on, 5 hours of talk-time, around 2 hours of twitter and 2 hours of whatsapp usage, 1 hour of songs listening, 1 hour of rummy/candy crush games and notification of all these items, the battery comes for more than 24 hours for me)* Getting charged quickly from 20% to 100% within 2 hours* Perfect camera and I love that 'Live' photo option* Body design is awesome. When I held it in my hand for the first time, felt really happy about the design and the size of the iPhone 13.",https://www.amazon.in/gp/customer-reviews/RUT3AECX0D2CJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 11 March 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ
17,NEGATIVE,0.9970890879631042,0.071,0.823,0.106,0.286,0.4418872,0.38156188,0.17655101,0.4418872,Negative,B09G9BL5CP,India,31-10-2023,True,3,It's been a week since I've been using this phone,Works just fine nothing special the camera is also good but during night it's not what I expected it to be and you have to charge the phone twice if you use it a lot it also heat sometimes it it doesn't like but sometimes it doesn't feel very smooth I don't know if it's value for money,https://www.amazon.in/gp/customer-reviews/R2WHHBNWQ6YL9K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 31 October 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ
18,POSITIVE,0.9998797178268433,0.0,0.204,0.796,0.5994,0.0060983333,0.025180608,0.96872103,0.96872103,Positive,B09G9BL5CP,India,29-11-2023,True,5,Great,Loved it,https://www.amazon.in/gp/customer-reviews/RZQ10EXG69IQX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 29 November 2023,Colour: PinkSize: 256 GB,B09G9HRYFZ
19,NEGATIVE,0.5157206654548645,0.037,0.835,0.128,0.6486,0.011590828,0.06657472,0.92183447,0.92183447,Positive,B09G9BL5CP,India,08-09-2022,True,5,Same as shown in pictures,There’s no same day delivery Phone was delivered to me in 3-4 days. I had to purchase  the phone thrice so on the third attempt I finally received the phone. Battery life is better than iPhone XR. Phone is same as shown in pictures. Amazon refund policy is good. I received both refunds within 24 hours.,https://www.amazon.in/gp/customer-reviews/R1ZGOKCP4HIKP0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 8 September 2022,Colour: PinkSize: 256 GB,B09G9HRYFZ
20,NEGATIVE,0.9995450377464294,0.0,1.0,0.0,0.0,0.8878696,0.10544997,0.006680422,0.8878696,Negative,B09G9BL5CP,India,14-02-2024,True,2,My device is not working need help,My device is not working (switched off)Iam not able to download Invoice and warranty documentHow can I get itService center asking the document,https://www.amazon.in/gp/customer-reviews/R2TDE5OQNJ9WJR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9HRYFZ,Reviewed in India on 14 February 2024,Colour: PinkSize: 256 GB,B09G9HRYFZ
21,POSITIVE,0.9997941851615906,0.0,0.0,1.0,0.6369,0.059446983,0.42256638,0.51798666,0.51798666,Positive,B09G9BL5CP,India,06-08-2024,True,5,Its the best,Best,https://www.amazon.in/gp/customer-reviews/RB5GEL844W4OU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 6 August 2024,Colour: BlueSize: 256 GB,B09G93H3BR
22,NEGATIVE,0.9997950196266174,0.625,0.375,0.0,-0.1695,0.7664141,0.21107098,0.02251495,0.7664141,Negative,B09G9BL5CP,India,25-06-2024,True,3,Not worth,Not worth,https://www.amazon.in/gp/customer-reviews/R3S8NCTCPRK90Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 25 June 2024,Colour: BlueSize: 256 GB,B09G93H3BR
23,NEGATIVE,0.9912909269332886,0.0,1.0,0.0,0.0,0.14891449,0.78293395,0.06815157,0.78293395,Neutral,B09G9BL5CP,India,12-05-2024,True,3,Improved version of iPhone 11,Nothing new features only model changed,https://www.amazon.in/gp/customer-reviews/R2QO7SAC741QEC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 12 May 2024,Colour: BlueSize: 256 GB,B09G93H3BR
24,NEGATIVE,0.9852555990219116,0.0,1.0,0.0,0.0,0.081798784,0.45689628,0.46130493,0.46130493,Positive,B09G9BL5CP,India,21-07-2024,True,2,Doubtful,Seals were teared but only stricker was put. I don't know whether it is new or refurbished but it's working 😕😕😕.,https://www.amazon.in/gp/customer-reviews/R2QYG29TK95ACF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 21 July 2024,Colour: BlueSize: 256 GB,B09G93H3BR
25,POSITIVE,0.9959599375724792,0.0,0.744,0.256,0.9638,0.002856892,0.018944321,0.97819877,0.97819877,Positive,B09G9BL5CP,India,04-11-2023,True,5,Amazing and Best value for money Iphone,"This phone has well balanced HD oled sDisplay. Colours are accurate. Camera quality is very good even with 12 MP cameras. Selfies and portrait look good, but selfies indoor required little improvement which can be done through software. Battery back up is great. Faster transfer using Airdrop. I am getting a 1 and half day of battery backup with normal usage. Overall a perfect smartphone with ios experience.",https://www.amazon.in/gp/customer-reviews/R1IOPFMC9XS0GR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 4 November 2023,Colour: BlueSize: 256 GB,B09G93H3BR
26,POSITIVE,0.9988276362419128,0.301,0.285,0.414,0.1999,0.3075222,0.46721756,0.22526024,0.46721756,Neutral,B09G9BL5CP,India,15-02-2024,True,5,Good,Good not like android,https://www.amazon.in/gp/customer-reviews/R1SB54DZIRZFGI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 15 February 2024,Colour: BlueSize: 256 GB,B09G93H3BR
28,POSITIVE,0.9998441934585571,0.0,0.256,0.744,0.4404,0.011027392,0.18805745,0.8009152,0.8009152,Positive,B09G9BL5CP,India,24-01-2024,True,5,Supar mobile phone,Good charge,https://www.amazon.in/gp/customer-reviews/R386I6XKKRUPQN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 24 January 2024,Colour: BlueSize: 256 GB,B09G93H3BR
29,POSITIVE,0.9837362170219421,0.075,0.67,0.254,0.9622,0.12312851,0.3054955,0.571376,0.571376,Positive,B09G9BL5CP,India,07-04-2022,True,4,Good but it’s not recommended to all,Actually I’m android user now switched to iPhone user experience is good but camera quality isn’t meet my expectations when taken photos on day times and little low lights you’ll get good quality photos. Night mode is worst. Battery is good for moderate users. Phone is very compact and display quality really awesome. My conclusion if you looking for privacy and protect from hackers definitely iPhone is safe. Those who are all moderate user and then buy this model,https://www.amazon.in/gp/customer-reviews/R334THP5JBZCC7/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 7 April 2022,Colour: BlueSize: 256 GB,B09G93H3BR
30,POSITIVE,0.9998672008514404,0.0,0.218,0.782,0.7996,0.0016839821,0.008429931,0.98988616,0.98988616,Positive,B09G9BL5CP,India,10-12-2023,True,5,Good,Very good I am happy,https://www.amazon.in/gp/customer-reviews/R2PVS4ORKRAUKA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G93H3BR,Reviewed in India on 10 December 2023,Colour: BlueSize: 256 GB,B09G93H3BR
31,POSITIVE,0.99986732006073,0.0,0.357,0.643,0.2023,0.025640398,0.24755938,0.7268002,0.7268002,Positive,B09G9BL5CP,India,10-08-2024,True,4,Good,Works fine,https://www.amazon.in/gp/customer-reviews/RLSUAWT4HS9DS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 10 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
32,POSITIVE,0.9998509883880615,0.0,0.0,1.0,0.3182,0.0075952737,0.23405635,0.75834835,0.75834835,Positive,B09G9BL5CP,India,18-07-2024,True,4,Good,Cool,https://www.amazon.in/gp/customer-reviews/RV70X0EJA15YG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 18 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
33,POSITIVE,0.9998464584350586,0.0,1.0,0.0,0.0,0.010664551,0.29315233,0.69618315,0.69618315,Positive,B09G9BL5CP,India,22-08-2024,True,5,Apple phone,"As it is an apple product, quality is ensured and proven",https://www.amazon.in/gp/customer-reviews/R159GE2Q7WQVXW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 22 August 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
34,NEGATIVE,0.98895663022995,0.0,0.821,0.179,0.5413,0.65067834,0.3270016,0.022320135,0.65067834,Negative,B09G9BL5CP,India,07-07-2024,True,5,Dear Apple,My phone was bent for some reason. So kindly infirm check my warrenty period. Get me feedback,https://www.amazon.in/gp/customer-reviews/R2FR17VE2M2MWJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 7 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
35,POSITIVE,0.9998335838317871,0.0,0.0,1.0,0.2023,0.11903177,0.53944236,0.34152585,0.53944236,Neutral,B09G9BL5CP,India,01-06-2024,True,5,excellent,fine,https://www.amazon.in/gp/customer-reviews/R3MSUJ1PH2TDUF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 1 June 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
36,POSITIVE,0.9953029155731201,0.017,0.853,0.13,0.7876,0.0035374828,0.03183746,0.96462506,0.96462506,Positive,B09G9BL5CP,India,11-10-2023,True,5,It's good for content creation,"I mainly bought it for content creation because the software optimization was good and also because I use macbook air so data transfer between iphone is quicker than the android one, basically less hassle.Love the photo and video quality.It's also mostly for work than personal use. Customization is a bit hard but I also use android as primary phone so not an issue for me.Overall a good purchase for me.",https://www.amazon.in/gp/customer-reviews/R3DEEQS24TWLBD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 11 October 2023,Colour: GreenSize: 256 GB,B09V4MXBSN
37,NEGATIVE,0.9982244372367859,0.092,0.794,0.114,0.2746,0.9372983,0.056195,0.006506654,0.9372983,Negative,B09G9BL5CP,India,02-07-2024,True,2,No airdrop and personal hotspot .,"I bought this iPhone 13 . There was a manufacturing defect as this phone doesn’tHave  personal hotspot and Airdrop . It’s blocked , not turning on . Deception . I can’t afford this . I am now in foreign , my friend bought this iPhone . I am not in a position even to return this iPhone .",https://www.amazon.in/gp/customer-reviews/R1293VGUFGE1PA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 2 July 2024,Colour: GreenSize: 256 GB,B09V4MXBSN
39,POSITIVE,0.9998205304145813,0.0,0.565,0.435,0.9451,0.001701442,0.009826122,0.9884724,0.9884724,Positive,B09G9BL5CP,India,29-11-2023,True,5,Amazing phone,I received iPhone 13 timely.Product is working great.It improved my lifestyle  as  well.Camera quality is awesome. Battery performance is pretty good.Thanks to Amazon for your great service.,https://www.amazon.in/gp/customer-reviews/R2WIVLELOU57FV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 29 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN
40,NEGATIVE,0.9909804463386536,0.063,0.842,0.095,0.2946,0.41649532,0.36312604,0.2203787,0.41649532,Negative,B09G9BL5CP,India,06-11-2023,True,3,"Not that great deal. Battery performance, heating,hanging","Facing heating issue, Battery performance is not that good. On screen 12 hrs only as of now. Hanging in between, which we didn’t expect from Apple. Look is fantastic. Small while compared to XR.",https://www.amazon.in/gp/customer-reviews/R25O25F7KZX2DP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09V4MXBSN,Reviewed in India on 6 November 2023,Colour: GreenSize: 256 GB,B09V4MXBSN
41,POSITIVE,0.9998111128807068,0.025,0.771,0.205,0.9856,0.0021513826,0.014585186,0.98326343,0.98326343,Positive,B09G9BL5CP,India,19-08-2024,True,4,Stunning Design and a Beautiful Pink!,"I finally upgraded from my trusty iPhone 5s to the iPhone 13, and let me tell you, it feels like I’ve time-traveled from the past to the future! The pink color is absolutely gorgeous—it's the perfect blend of subtle and stylish, making the phone look sleek and modern. I’ve received so many compliments on it already.The design is everything you’d expect from Apple: premium, well-crafted, and just a pleasure to hold. Coming from a 5s, it’s almost like I was using a rotary phone before this. I half-expected Siri to say, “Welcome to the 21st century!”The display is bright and vibrant, the camera is a huge leap forward, and the overall performance is incredibly smooth. It’s crazy how much has changed—face ID feels like magic, and the battery life is a dream compared to my old 5s, which needed a charger practically glued to it.If you’re thinking about upgrading, especially if you’re coming from a much older model like I was, don’t hesitate. This iPhone 13 in pink is a stunner and well worth the leap!",https://www.amazon.in/gp/customer-reviews/RJID7UME915NJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 August 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
42,POSITIVE,0.9997480511665344,0.041,0.6,0.359,0.974,0.0017587361,0.006332921,0.9919084,0.9919084,Positive,B09G9BL5CP,India,04-09-2024,True,5,My favourite 🤩,"I really wanted to get an iPhone and it is my first iPhone but i loved it the sound quality is great and it charges fast, the phone is a bit heavy but it looks classy the display also works well and the camera is the best 🤍🤍",https://www.amazon.in/gp/customer-reviews/R33TKN32S1HW1S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 4 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
43,POSITIVE,0.7923810482025146,0.056,0.797,0.147,0.9642,0.1893994,0.3401673,0.47043326,0.47043326,Positive,B09G9BL5CP,India,22-06-2024,True,5,Still one of best base flagships out there in 2024,"Things I liked:1. Solid Build Quality and very polished software (compared to Samsung's One UI)2. Camera:-Rear: Rear camera is pretty decent with good color accuracy in all lighting conditions. Videos are steady and smooth.3. Mic / Speakers: Mic is exceptionally well, isolates all background sounds in noisy situations. Speakers are crisp with good bass.4. Performance: This is where the phone shines, you can throw any app available on the App store and it will run it without breaking a sweat.5. Face Id works like charm, it's the best biometric phone lock out there undoubtedly.Things I wish were better:1. Battery life would have been better, I get up to 4.30 - 5 Hours SOT with mixed usage (high brightness, 1 hour calls, 2-3 hour social media, and 2 hour media playback/music)2. Charges Slow compared to my earlier Samsung. Takes almost 1.2 Hours from 20% to 80%3. Front camera is average, it fails to get correct skin tones and lighting. I keep it on default and still it produces over saturated photos.4. Dialer / phone app sucks. I am someone who makes up to 200 calls a day due to nature of my SCM work. Dialer on Samsung is far better. For unknown call you can add a note to the number in Samsung and it reflect when the person call you again, without having to save unnecessary contacts. Number pad does not detect contact unless complete number is typed.",https://www.amazon.in/gp/customer-reviews/R1HV1XFKSZBWYV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 22 June 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
44,NEGATIVE,0.9660873413085938,0.0,1.0,0.0,0.0,0.0050191027,0.029837448,0.96514344,0.96514344,Positive,B09G9BL5CP,India,18-09-2024,True,5,Awesome product,Each and every thingLove this Product,https://www.amazon.in/gp/customer-reviews/RW6X30Q0YBOIL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 18 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
45,POSITIVE,0.9997573494911194,0.0,0.641,0.359,0.4215,0.0041267425,0.077987246,0.917886,0.917886,Positive,B09G9BL5CP,India,19-09-2024,True,5,The way it was fast.,I liked the way it was fast.,https://www.amazon.in/gp/customer-reviews/R2SFHRM8IJBAKW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 19 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
47,POSITIVE,0.9990298748016357,0.049,0.739,0.212,0.8107,0.003112579,0.02262296,0.97426444,0.97426444,Positive,B09G9BL5CP,India,17-08-2024,True,5,It’s completely worth it product,I’m using it from almost 2 months there no issue I’m facing as such now …camera quality is great 👍 and best part is it’s Display gives you premium experience u can go for it,https://www.amazon.in/gp/customer-reviews/RACO676WH8VYK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 17 August 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
48,NEGATIVE,0.9767535924911499,0.0,0.811,0.189,0.1027,0.2974763,0.57344514,0.12907855,0.57344514,Neutral,B09G9BL5CP,India,11-09-2024,True,3,Phone seems hanging within 6months of use,Picture quality is fine but hanging issue,https://www.amazon.in/gp/customer-reviews/RKT0LHZ8149FL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 11 September 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
49,POSITIVE,0.9724161028862,0.043,0.801,0.156,0.9589,0.016672948,0.10728778,0.87603927,0.87603927,Positive,B09G9BL5CP,India,06-04-2024,True,4,So far so good,"Writing this review after using the phone for 5 months.Pros- camera clicks amazing pictures, video recording is the best I've seen in a phone so far compared to my previous phones. Stable videos with no shaking- battery life is good. Lasts an entire day with medium use. I don't game on the phone. Charging is as quick as it is with phones that use USB C.- display is soo good. So bright- built is solid, dropped phone a couple of times once with the cover and once without and not even a scratch.- listening to music and watching videos is a hot cos of how good the speakers r. Crystal clear with the right amount of bass and treble.Cons- phone is a tad heavy and using it for hrs on a stretch can result in pain in the wrist or fingersGot the phone in Diwali sale on discount so bang for buck if u ask me",https://www.amazon.in/gp/customer-reviews/R32NZKE2ZN5RGD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 6 April 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
50,POSITIVE,0.9993820190429688,0.0,0.192,0.808,0.6369,0.0049351505,0.072242185,0.9228226,0.9228226,Positive,B09G9BL5CP,India,14-08-2024,True,5,Best Phone,best phone,https://www.amazon.in/gp/customer-reviews/R2O9S77W9AFI0S/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,Reviewed in India on 14 August 2024,Colour: PinkSize: 128 GB,B09G9FPGTN
51,POSITIVE,0.9998481273651123,0.0,0.263,0.737,0.4215,0.014129125,0.140551,0.84531987,0.84531987,Positive,B09G9BL5CP,India,12-08-2024,True,4,Quality,Nice one,https://www.amazon.in/gp/customer-reviews/R10HZ6QX4CEG4T/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BFKZN,Reviewed in India on 12 August 2024,Colour: StarlightSize: 256 GB,B09G9BFKZN
52,POSITIVE,0.9995156526565552,0.049,0.485,0.466,0.9753,0.013857404,0.046275437,0.9398672,0.9398672,Positive,B09G9BL5CP,India,29-06-2024,True,4,Amazing,"Finally Switched from android. In hand feel is super amazing. they are still susceptible to hacking, among other types of security threats. Photos comes out ver good .Screen quality is wow i mean watching experience is super satisfying.",https://www.amazon.in/gp/customer-reviews/RAXWC1QXRX24X/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B09G9BFKZN,Reviewed in India on 29 June 2024,Colour: StarlightSize: 256 GB,B09G9BFKZN
